Customer_ID,Acquisition_Channel,Segment,CAC,Monthly_Revenue,Churn_Month
CUST_00001,Organic SEO,SMB,103.77,424.46,24
CUST_00002,Referral,SMB,50.0,642.6,21
CUST_00003,Email,SMB,68.12,386.99,14
CUST_00004,Email,SMB,108.32,276.59,12
CUST_00005,Paid Social,SMB,626.32,206.73,2
CUST_00006,Paid Social,Enterprise,998.19,387.5,3
CUST_00007,Paid Social,SMB,710.67,124.83,1
CUST_00008,Referral,SMB,109.8,380.5,20
CUST_00009,Email,Enterprise,188.85,694.01,12
CUST_00010,Email,Enterprise,269.43,531.76,17
CUST_00011,Paid Social,Enterprise,1014.58,427.63,3
CUST_00012,Referral,Enterprise,195.1,767.19,18
CUST_00013,Referral,Enterprise,190.56,900.52,11
CUST_00014,Paid Social,SMB,810.47,184.8,4
CUST_00015,Paid Social,SMB,542.04,288.76,7
CUST_00016,Paid Social,SMB,197.19,306.84,6
CUST_00017,Organic SEO,SMB,143.77,446.6,22
CUST_00018,Organic SEO,SMB,69.08,552.47,10
CUST_00019,Organic SEO,SMB,83.88,331.2,27
CUST_00020,Paid Social,SMB,440.51,229.63,7
CUST_00021,Email,SMB,98.49,203.05,14
CUST_00022,Paid Social,SMB,742.74,238.88,7
CUST_00023,Paid Social,Enterprise,1031.83,437.97,5
CUST_00024,Organic SEO,SMB,100.81,286.47,40
CUST_00025,Organic SEO,Enterprise,336.62,862.72,14
CUST_00026,Email,SMB,182.63,419.44,23
CUST_00027,Paid Social,Enterprise,1228.96,362.88,3
CUST_00028,Organic SEO,Enterprise,215.27,664.17,19
CUST_00029,Email,Enterprise,177.49,868.9,23
CUST_00030,Paid Social,Enterprise,897.84,671.98,7
CUST_00031,Email,SMB,91.72,124.12,15
CUST_00032,Paid Social,Enterprise,782.97,514.59,5
CUST_00033,Paid Social,Enterprise,910.34,543.13,3
CUST_00034,Referral,Enterprise,173.9,838.85,23
CUST_00035,Referral,Enterprise,193.01,736.83,20
CUST_00036,Referral,SMB,83.85,353.15,27
CUST_00037,Organic SEO,Enterprise,232.28,706.91,14
CUST_00038,Paid Social,SMB,692.57,188.18,5
CUST_00039,Email,SMB,200.91,307.89,20
CUST_00040,Organic SEO,SMB,252.28,472.99,17
CUST_00041,Paid Social,Enterprise,1014.58,380.14,3
CUST_00042,Organic SEO,SMB,115.72,606.47,13
CUST_00043,Paid Social,SMB,347.05,138.55,5
CUST_00044,Referral,SMB,92.99,561.28,26
CUST_00045,Paid Social,Enterprise,650.53,423.35,7
CUST_00046,Email,SMB,102.85,427.82,15
CUST_00047,Organic SEO,SMB,93.94,326.64,13
CUST_00048,Organic SEO,SMB,118.07,382.1,20
CUST_00049,Organic SEO,Enterprise,180.09,766.09,15
CUST_00050,Paid Social,Enterprise,782.29,507.94,4
CUST_00051,Referral,Enterprise,207.87,1050.45,29
CUST_00052,Email,SMB,89.73,223.56,16
CUST_00053,Referral,Enterprise,154.24,816.85,14
CUST_00054,Referral,SMB,86.55,367.47,26
CUST_00055,Email,SMB,141.93,419.58,10
CUST_00056,Referral,SMB,102.04,325.43,14
CUST_00057,Paid Social,SMB,418.85,328.68,4
CUST_00058,Paid Social,Enterprise,1180.78,545.4,4
CUST_00059,Paid Social,SMB,704.81,272.59,3
CUST_00060,Organic SEO,SMB,263.53,388.54,18
CUST_00061,Organic SEO,SMB,100.67,489.75,20
CUST_00062,Paid Social,SMB,609.26,186.82,6
CUST_00063,Referral,SMB,119.91,333.06,13
CUST_00064,Organic SEO,SMB,186.88,186.93,18
CUST_00065,Paid Social,SMB,415.5,342.18,4
CUST_00066,Organic SEO,Enterprise,341.94,711.44,22
CUST_00067,Paid Social,Enterprise,1269.86,399.88,5
CUST_00068,Referral,Enterprise,255.71,904.66,22
CUST_00069,Paid Social,SMB,637.93,236.2,2
CUST_00070,Referral,Enterprise,199.13,635.62,19
CUST_00071,Email,Enterprise,257.33,638.13,13
CUST_00072,Paid Social,Enterprise,1057.27,419.4,3
CUST_00073,Paid Social,SMB,545.41,216.04,3
CUST_00074,Referral,SMB,110.29,480.38,19
CUST_00075,Email,Enterprise,189.89,716.69,20
CUST_00076,Email,SMB,99.27,377.2,18
CUST_00077,Email,SMB,151.57,318.73,12
CUST_00078,Paid Social,SMB,412.75,263.36,7
CUST_00079,Organic SEO,SMB,122.96,448.53,16
CUST_00080,Paid Social,Enterprise,918.88,632.39,6
CUST_00081,Referral,SMB,50.0,345.58,29
CUST_00082,Email,SMB,118.38,205.86,12
CUST_00083,Organic SEO,Enterprise,317.71,877.39,18
CUST_00084,Paid Social,SMB,941.56,306.67,4
CUST_00085,Organic SEO,SMB,103.06,252.76,19
CUST_00086,Organic SEO,SMB,122.67,544.11,25
CUST_00087,Email,Enterprise,231.49,560.0,13
CUST_00088,Email,SMB,168.51,261.51,20
CUST_00089,Referral,Enterprise,176.11,902.72,17
CUST_00090,Organic SEO,SMB,146.35,380.86,23
CUST_00091,Paid Social,SMB,336.57,208.85,5
CUST_00092,Email,SMB,141.82,228.7,10
CUST_00093,Email,SMB,142.33,170.79,21
CUST_00094,Organic SEO,Enterprise,266.14,597.77,15
CUST_00095,Email,Enterprise,220.06,621.39,16
CUST_00096,Organic SEO,SMB,196.4,337.76,13
CUST_00097,Organic SEO,SMB,134.06,515.63,26
CUST_00098,Organic SEO,Enterprise,154.3,888.01,19
CUST_00099,Paid Social,SMB,662.32,182.96,2
CUST_00100,Paid Social,SMB,601.21,147.81,2
CUST_00101,Paid Social,Enterprise,661.69,550.08,5
CUST_00102,Email,SMB,147.21,378.56,14
CUST_00103,Organic SEO,Enterprise,271.27,711.74,16
CUST_00104,Organic SEO,SMB,93.96,402.95,23
CUST_00105,Referral,Enterprise,130.92,1062.57,22
CUST_00106,Paid Social,SMB,539.39,79.55,2
CUST_00107,Organic SEO,SMB,160.65,446.87,14
CUST_00108,Email,SMB,187.15,384.82,12
CUST_00109,Paid Social,SMB,501.55,455.42,3
CUST_00110,Paid Social,SMB,591.09,203.45,6
CUST_00111,Paid Social,SMB,724.11,197.74,6
CUST_00112,Paid Social,SMB,895.82,238.46,6
CUST_00113,Referral,Enterprise,138.83,898.5,20
CUST_00114,Referral,SMB,115.89,576.61,21
CUST_00115,Email,SMB,181.01,460.35,19
CUST_00116,Referral,SMB,69.94,340.46,17
CUST_00117,Referral,SMB,121.22,262.47,26
CUST_00118,Paid Social,SMB,301.4,306.62,5
CUST_00119,Referral,SMB,134.68,568.39,30
CUST_00120,Organic SEO,Enterprise,363.15,783.8,12
CUST_00121,Referral,SMB,51.16,148.71,15
CUST_00122,Referral,SMB,90.41,347.24,20
CUST_00123,Organic SEO,Enterprise,305.06,734.55,12
CUST_00124,Paid Social,Enterprise,889.42,415.14,4
CUST_00125,Paid Social,SMB,737.7,208.15,7
CUST_00126,Organic SEO,Enterprise,361.4,704.28,12
CUST_00127,Referral,SMB,86.16,569.93,19
CUST_00128,Referral,Enterprise,191.28,1053.1,17
CUST_00129,Paid Social,SMB,374.31,296.64,5
CUST_00130,Organic SEO,Enterprise,234.34,729.26,17
CUST_00131,Organic SEO,Enterprise,181.61,852.22,15
CUST_00132,Paid Social,SMB,50.0,230.35,3
CUST_00133,Paid Social,SMB,799.99,179.81,3
CUST_00134,Organic SEO,SMB,182.48,287.35,14
CUST_00135,Referral,SMB,105.83,284.74,13
CUST_00136,Organic SEO,SMB,255.56,423.74,16
CUST_00137,Organic SEO,SMB,151.79,415.65,22
CUST_00138,Email,SMB,77.98,349.78,13
CUST_00139,Organic SEO,SMB,140.66,377.68,17
CUST_00140,Referral,SMB,113.74,483.32,12
CUST_00141,Referral,SMB,50.0,371.94,32
CUST_00142,Paid Social,SMB,342.71,213.76,4
CUST_00143,Organic SEO,Enterprise,242.26,787.61,25
CUST_00144,Organic SEO,SMB,179.36,271.61,31
CUST_00145,Paid Social,SMB,510.14,180.55,7
